Start,End,akebiae_proteins_le_count,akebiae_proteins_la_count,akebiae_proteins_la_percentage,akebiae_proteins_le_percentage
0,100,65,23,7.479861910241657,6.666666666666667
101,200,183,69,21.058688147295744,20.0
201,300,200,85,23.014959723820482,24.637681159420293
301,400,180,71,20.713463751438436,20.579710144927535
401,500,103,51,11.852704257767549,14.782608695652174
501,600,56,17,6.444188722669736,4.9275362318840585
601,700,23,9,2.6467203682393556,2.608695652173913
701,800,17,6,1.9562715765247412,1.7391304347826086
801,900,13,7,1.4959723820483315,2.0289855072463765
901,1000,13,4,1.4959723820483315,1.1594202898550725
1001,1100,4,1,0.46029919447640966,0.2898550724637681
1101,1200,7,0,0.805523590333717,0.0
1201,1300,2,1,0.23014959723820483,0.2898550724637681
1301,1400,0,1,0.0,0.2898550724637681
1401,1500,0,0,0.0,0.0
1501,1600,1,0,0.11507479861910241,0.0
1601,1700,1,0,0.11507479861910241,0.0
1701,1800,0,0,0.0,0.0
1801,1900,1,0,0.11507479861910241,0.0
,,Total 869.00,Total 345.00,Total 100.00,Total 100.00
