Number,Occurrences
50,1
57,1
61,2
64,1
66,2
67,2
72,1
73,1
75,1
76,1
77,1
79,2
82,1
83,1
84,1
85,1
88,1
93,2
101,1
102,1
105,1
109,1
110,2
119,1
120,2
122,1
123,2
124,2
125,1
126,1
127,1
132,1
133,1
137,3
140,2
143,1
145,2
147,2
149,1
151,1
154,1
155,1
159,1
160,1
162,1
163,2
164,1
165,3
166,5
168,1
169,1
171,2
172,1
174,1
177,1
178,1
179,1
180,2
183,2
186,1
188,1
191,1
194,1
195,1
197,1
198,1
199,1
200,1
202,1
203,1
206,3
209,3
211,1
213,2
215,1
216,1
218,1
222,1
223,1
224,2
225,1
226,1
229,1
230,1
231,2
232,1
233,1
234,1
235,2
237,1
238,2
240,1
241,1
243,2
244,1
245,1
246,1
248,1
249,1
251,2
252,2
254,1
255,1
256,1
258,2
259,3
260,2
262,1
263,1
264,3
265,1
266,3
269,2
272,1
273,1
274,4
275,1
278,1
280,1
281,1
285,1
286,1
287,1
288,1
292,1
295,1
296,1
300,2
302,2
304,1
306,1
307,3
308,1
309,2
311,2
312,2
313,2
314,1
315,1
316,1
319,1
320,1
323,2
324,1
325,1
326,1
329,2
332,1
333,1
335,1
338,1
340,3
341,1
343,3
344,1
345,1
346,1
348,1
350,2
353,1
359,1
360,1
361,1
362,1
364,1
369,1
370,1
371,1
372,3
373,1
374,2
376,1
377,1
378,1
379,1
381,1
386,1
388,1
391,1
394,1
398,2
402,2
403,1
406,2
407,1
408,3
421,1
422,1
423,1
428,1
432,2
433,1
435,1
438,1
439,1
441,2
442,1
443,1
444,1
447,2
448,2
451,2
452,2
454,2
456,1
460,1
461,1
462,1
467,1
469,1
471,1
473,1
474,2
477,1
478,1
479,1
480,1
488,1
493,1
494,1
508,1
512,1
515,1
519,1
521,1
525,1
529,1
532,1
538,2
549,1
551,1
556,1
568,1
584,1
590,1
598,1
608,2
625,1
645,1
651,1
652,1
678,1
692,1
695,1
709,1
726,1
759,1
765,1
784,1
800,1
812,1
824,1
828,1
837,1
843,1
866,1
894,1
914,1
915,1
924,1
934,1
1047,1
1285,1
1327,1
