Gene,albidoflavus_J1074,Sign,Start,End
fadA_1,albidoflavus_J1074_00558,+,727034,755674
rpmE2,albidoflavus_J1074_00486,-,661173,661427
pigE,albidoflavus_J1074_00082,-,111182,112606
iucC_2,albidoflavus_J1074_00406,-,577048,578868
group_1003,albidoflavus_J1074_00411,+,584139,584864
bcrA,albidoflavus_J1074_00344,+,510090,511031
paaB,albidoflavus_J1074_00589,-,875628,875930
group_1006,albidoflavus_J1074_00517,-,687618,688850
group_1007,albidoflavus_J1074_00533,+,704442,704636
opuBB_1,albidoflavus_J1074_00519,+,689893,690564
group_1009,albidoflavus_J1074_00079,+,109526,110305
lacC,albidoflavus_J1074_00025,+,39433,40380
group_1010,albidoflavus_J1074_00328,+,432132,432842
fabG_1,albidoflavus_J1074_00585,-,872394,873170
ectD,albidoflavus_J1074_00415,-,587969,588865
shc,albidoflavus_J1074_00085,-,114376,116367
cimA,albidoflavus_J1074_00210,-,278366,280147
folB,albidoflavus_J1074_00324,-,428625,428984
livF_2,albidoflavus_J1074_00578,-,862230,862958
mdtD_2,albidoflavus_J1074_00332,+,436409,438004
group_1018,albidoflavus_J1074_00420,+,592896,593975
gdhIV,albidoflavus_J1074_00615,+,929042,929791
group_102,albidoflavus_J1074_00030,-,44620,45039
ftsH,albidoflavus_J1074_00320,+,424484,426562
group_1021,albidoflavus_J1074_00218,+,289931,292306
group_1022,albidoflavus_J1074_00322,-,427397,427885
group_1023,albidoflavus_J1074_00547,+,714621,715205
nrdR,albidoflavus_J1074_00187,-,251561,252073
dhpH,albidoflavus_J1074_00577,+,860925,862142
rpmG2,albidoflavus_J1074_00487,-,661471,661635
group_1027,albidoflavus_J1074_00325,-,429231,429701
opuCA_2,albidoflavus_J1074_00521,-,691512,692675
ccr,albidoflavus_J1074_00593,-,879099,880325
group_103,albidoflavus_J1074_00044,-,57596,57778
srlR_1,albidoflavus_J1074_00024,+,38675,39436
group_1031,albidoflavus_J1074_00575,+,859343,860038
group_1032,albidoflavus_J1074_00569,-,845907,847088
group_1033,albidoflavus_J1074_00220,-,293445,294812
otnC,albidoflavus_J1074_00502,+,673038,673676
group_104,albidoflavus_J1074_00047,+,62253,63536
group_105,albidoflavus_J1074_00049,-,64238,64768
group_106,albidoflavus_J1074_00053,-,69374,70102
yfmJ,albidoflavus_J1074_00056,-,72249,73304
group_108,albidoflavus_J1074_00057,-,73301,75031
group_109,albidoflavus_J1074_00074,+,105682,106275
group_110,albidoflavus_J1074_00090,-,120029,120940
group_112,albidoflavus_J1074_00092,-,122137,123045
tap,albidoflavus_J1074_00147,+,186356,188002
hemY,albidoflavus_J1074_00149,-,188737,190209
dinG,albidoflavus_J1074_00189,-,253576,255564
group_117,albidoflavus_J1074_00196,+,264956,265633
group_118,albidoflavus_J1074_00198,-,267419,268204
group_119,albidoflavus_J1074_00199,+,268381,269004
tipA,albidoflavus_J1074_00200,-,269029,269850
group_121,albidoflavus_J1074_00202,+,270586,270909
group_122,albidoflavus_J1074_00205,-,272564,272989
group_124,albidoflavus_J1074_00233,+,306107,306448
mfd,albidoflavus_J1074_00234,-,306473,310006
group_127,albidoflavus_J1074_00246,-,321709,324474
group_128,albidoflavus_J1074_00247,-,324471,326078
group_129,albidoflavus_J1074_00248,-,326131,328083
bmr3,albidoflavus_J1074_00252,+,332906,334498
group_131,albidoflavus_J1074_00253,-,334514,335056
group_132,albidoflavus_J1074_00257,-,337329,337691
opuCA_1,albidoflavus_J1074_00327,-,430709,431875
stp,albidoflavus_J1074_00335,+,439082,440440
dap,albidoflavus_J1074_00340,-,506299,507654
group_139,albidoflavus_J1074_00351,+,516847,519138
group_140,albidoflavus_J1074_00355,-,522157,523584
group_141,albidoflavus_J1074_00401,-,572244,572657
egtE,albidoflavus_J1074_00412,+,584828,586039
lin,albidoflavus_J1074_00468,-,642446,643249
group_145,albidoflavus_J1074_00469,-,643246,644253
crtB_2,albidoflavus_J1074_00474,+,649077,650039
group_147,albidoflavus_J1074_00475,+,650036,651034
group_149,albidoflavus_J1074_00491,-,662601,663902
otnK,albidoflavus_J1074_00501,+,671773,673041
group_152,albidoflavus_J1074_00513,-,683857,684042
group_153,albidoflavus_J1074_00526,+,696690,697874
oppF,albidoflavus_J1074_00532,+,703608,704321
group_155,albidoflavus_J1074_00534,-,704617,705645
group_156,albidoflavus_J1074_00535,-,705642,706232
group_157,albidoflavus_J1074_00540,+,710264,710455
group_158,albidoflavus_J1074_00541,-,710465,711157
group_159,albidoflavus_J1074_00553,+,719811,721241
group_160,albidoflavus_J1074_00556,+,724450,725301
per,albidoflavus_J1074_00570,-,847183,848241
argP,albidoflavus_J1074_00617,+,930307,931182
kmo,albidoflavus_J1074_00618,+,931774,932964
dltA_5,albidoflavus_J1074_00058,-,75028,76710
ureC,albidoflavus_J1074_00213,-,282983,284785
group_171,albidoflavus_J1074_00244,-,319521,320648
group_191,albidoflavus_J1074_00023,-,38086,38328
fruA,albidoflavus_J1074_00027,+,40493,42505
group_194,albidoflavus_J1074_00041,+,55456,55737
group_195,albidoflavus_J1074_00043,-,56312,57595
group_196,albidoflavus_J1074_00045,-,57883,58953
rapA,albidoflavus_J1074_00046,+,59326,62196
group_198,albidoflavus_J1074_00048,+,63811,64158
group_201,albidoflavus_J1074_00054,+,70352,70954
mycG_1,albidoflavus_J1074_00055,-,71009,72208
group_203,albidoflavus_J1074_00061,+,87677,88195
group_204,albidoflavus_J1074_00062,+,88233,90521
sprA,albidoflavus_J1074_00065,-,94402,95292
group_206,albidoflavus_J1074_00067,-,95785,98412
group_210,albidoflavus_J1074_00075,-,106262,106618
group_212,albidoflavus_J1074_00077,-,107035,108264
group_213,albidoflavus_J1074_00078,-,108412,109272
group_214,albidoflavus_J1074_00080,-,110315,110500
group_215,albidoflavus_J1074_00081,-,110497,111114
group_216,albidoflavus_J1074_00084,-,113705,114376
group_217,albidoflavus_J1074_00086,-,116459,116566
hpnE,albidoflavus_J1074_00088,-,117703,119079
group_219,albidoflavus_J1074_00094,-,124089,124868
dhbF,albidoflavus_J1074_00021,+,26425,27282
group_220,albidoflavus_J1074_00097,-,126644,128365
group_222,albidoflavus_J1074_00102,+,133977,134483
lagD,albidoflavus_J1074_00105,+,136384,138681
group_224,albidoflavus_J1074_00144,+,182976,183845
group_225,albidoflavus_J1074_00145,+,183876,184589
group_226,albidoflavus_J1074_00146,+,184701,186029
iucC_1,albidoflavus_J1074_00190,-,255651,257513
iucB,albidoflavus_J1074_00191,-,257976,258761
iucA,albidoflavus_J1074_00192,-,258788,260683
dat,albidoflavus_J1074_00193,-,260754,262112
group_232,albidoflavus_J1074_00195,+,263750,264955
group_233,albidoflavus_J1074_00201,-,269834,270376
group_234,albidoflavus_J1074_00206,+,273102,273926
cyc2,albidoflavus_J1074_00208,+,274516,276801
group_236,albidoflavus_J1074_00209,-,276836,278203
ureA,albidoflavus_J1074_00214,-,284782,285537
cstA,albidoflavus_J1074_00216,+,286827,289061
group_240,albidoflavus_J1074_00217,+,289058,289300
cyc1,albidoflavus_J1074_00221,-,294809,295783
group_242,albidoflavus_J1074_00228,+,301426,302148
group_243,albidoflavus_J1074_00232,-,304994,305611
group_244,albidoflavus_J1074_00235,+,310452,311441
