Gene,albidoflavus_SM254,Sign
group_1,NDLJOBPC_02063,-
trmB,NDLJOBPC_03005,+
group_1002,NDLJOBPC_03015,-
group_1003,NDLJOBPC_03018,-
group_1005,NDLJOBPC_03042,+
group_1006,NDLJOBPC_03047,-
group_1007,NDLJOBPC_03059,-
group_1008,NDLJOBPC_03062,-
group_1009,NDLJOBPC_03065,-
group_1010,NDLJOBPC_03070,+
group_1011,NDLJOBPC_03076,-
group_1012,NDLJOBPC_03077,+
group_1013,NDLJOBPC_03080,-
group_1014,NDLJOBPC_03089,-
group_1015,NDLJOBPC_03109,+
yidA_2,NDLJOBPC_03125,+
group_1017,NDLJOBPC_03134,+
phnO,NDLJOBPC_03147,+
group_1019,NDLJOBPC_03149,-
yyaP_1,NDLJOBPC_03151,+
group_1021,NDLJOBPC_03172,+
group_1022,NDLJOBPC_03192,+
scoF_2,NDLJOBPC_03203,+
glpG,NDLJOBPC_03208,+
group_1027,NDLJOBPC_03213,+
trmL,NDLJOBPC_03230,+
pknD_5,NDLJOBPC_03244,+
resA_1,NDLJOBPC_03258,+
group_1031,NDLJOBPC_03261,+
group_1032,NDLJOBPC_03262,-
group_1035,NDLJOBPC_03266,+
group_1037,NDLJOBPC_03274,-
group_1038,NDLJOBPC_03278,+
group_1039,NDLJOBPC_03309,+
group_1040,NDLJOBPC_03322,+
ytrA_3,NDLJOBPC_03345,-
group_1042,NDLJOBPC_03347,-
group_1043,NDLJOBPC_03357,+
group_1044,NDLJOBPC_03359,-
group_1045,NDLJOBPC_03363,-
group_1046,NDLJOBPC_03364,+
dapC,NDLJOBPC_03367,-
group_1048,NDLJOBPC_03377,-
group_1049,NDLJOBPC_03381,+
lnrK_2,NDLJOBPC_03383,+
group_1052,NDLJOBPC_03387,-
group_1053,NDLJOBPC_03389,-
group_1054,NDLJOBPC_03390,+
acr3,NDLJOBPC_03392,-
group_1056,NDLJOBPC_03393,-
cadI,NDLJOBPC_03394,+
group_1060,NDLJOBPC_03403,+
ant1,NDLJOBPC_03404,-
group_1062,NDLJOBPC_03408,+
group_1063,NDLJOBPC_03414,-
group_1064,NDLJOBPC_03439,-
group_1065,NDLJOBPC_03447,-
group_1067,NDLJOBPC_03451,+
group_1068,NDLJOBPC_03453,-
group_1069,NDLJOBPC_03455,+
psdht,NDLJOBPC_03460,+
group_1072,NDLJOBPC_03464,+
group_1073,NDLJOBPC_03479,+
lacI,NDLJOBPC_03496,-
group_1075,NDLJOBPC_03512,+
group_1076,NDLJOBPC_03525,+
group_1077,NDLJOBPC_03526,+
group_1078,NDLJOBPC_03544,+
group_1079,NDLJOBPC_03545,-
group_1080,NDLJOBPC_03547,+
group_1081,NDLJOBPC_03561,-
group_1082,NDLJOBPC_03581,-
group_1083,NDLJOBPC_03582,-
folP1,NDLJOBPC_03608,-
stp_3,NDLJOBPC_03617,+
dap_3,NDLJOBPC_03622,-
group_1087,NDLJOBPC_03633,+
group_1088,NDLJOBPC_03637,-
group_1089,NDLJOBPC_03643,-
group_109,NDLJOBPC_00292,+
group_1090,NDLJOBPC_03649,+
group_1091,NDLJOBPC_03650,+
argA,NDLJOBPC_03651,+
group_1093,NDLJOBPC_03653,-
group_1094,NDLJOBPC_03655,-
group_1095,NDLJOBPC_03676,-
group_1096,NDLJOBPC_03679,-
group_1098,NDLJOBPC_03680,+
rbbA,NDLJOBPC_03681,+
ybjJ_3,NDLJOBPC_03689,+
group_1101,NDLJOBPC_03710,+
group_1102,NDLJOBPC_03722,-
resA_2,NDLJOBPC_03732,+
group_1104,NDLJOBPC_03752,-
group_1105,NDLJOBPC_03774,-
group_1106,NDLJOBPC_03775,-
group_1112,NDLJOBPC_03789,+
group_1115,NDLJOBPC_03813,+
recQ,NDLJOBPC_03818,+
cof,NDLJOBPC_03822,+
hepT,NDLJOBPC_03828,+
group_1120,NDLJOBPC_03829,+
hxlR,NDLJOBPC_03835,+
ndhJ,NDLJOBPC_03843,+
htpX_2,NDLJOBPC_03895,-
group_1125,NDLJOBPC_03897,-
rspR_3,NDLJOBPC_03906,-
nnr,NDLJOBPC_03954,+
rimI,NDLJOBPC_03972,+
pknD_9,NDLJOBPC_03996,+
rppH_2,NDLJOBPC_04007,-
group_1137,NDLJOBPC_04026,-
group_1138,NDLJOBPC_04051,-
group_1139,NDLJOBPC_04056,+
group_1140,NDLJOBPC_04062,-
group_1141,NDLJOBPC_04065,-
group_1144,NDLJOBPC_04071,+
group_1145,NDLJOBPC_04076,+
group_1146,NDLJOBPC_04095,-
gabR_2,NDLJOBPC_04096,+
group_1148,NDLJOBPC_04121,+
group_1150,NDLJOBPC_04126,-
group_1151,NDLJOBPC_04142,+
group_1152,NDLJOBPC_04152,-
group_1153,NDLJOBPC_04158,+
group_1154,NDLJOBPC_04168,+
cdd,NDLJOBPC_04173,+
group_1156,NDLJOBPC_04175,+
group_1157,NDLJOBPC_04195,-
group_1158,NDLJOBPC_04196,-
group_1159,NDLJOBPC_04197,+
pimB_1,NDLJOBPC_00574,+
group_1160,NDLJOBPC_04198,+
drrB_3,NDLJOBPC_04238,+
group_1162,NDLJOBPC_04243,-
group_1163,NDLJOBPC_04247,+
group_1164,NDLJOBPC_04250,+
group_1165,NDLJOBPC_04251,-
group_1166,NDLJOBPC_04296,+
group_1167,NDLJOBPC_04306,-
ydhP_3,NDLJOBPC_04308,+
group_1169,NDLJOBPC_04310,-
group_1170,NDLJOBPC_04311,+
group_1171,NDLJOBPC_04312,-
group_1172,NDLJOBPC_04325,-
group_1180,NDLJOBPC_04379,+
group_1181,NDLJOBPC_04380,-
mftR_2,NDLJOBPC_04396,-
group_1188,NDLJOBPC_04417,-
nagZ_3,NDLJOBPC_04426,-
hcrA,NDLJOBPC_00622,+
recD2_1,NDLJOBPC_04427,+
group_1192,NDLJOBPC_04439,+
group_1193,NDLJOBPC_04448,-
group_1194,NDLJOBPC_04449,+
group_1195,NDLJOBPC_04472,-
group_1196,NDLJOBPC_04476,+
group_1197,NDLJOBPC_04478,-
group_1198,NDLJOBPC_04483,-
group_1199,NDLJOBPC_04485,-
pknG,NDLJOBPC_04486,-
group_1201,NDLJOBPC_04506,+
group_1202,NDLJOBPC_04508,+
group_1203,NDLJOBPC_04518,+
group_1204,NDLJOBPC_04548,+
group_1206,NDLJOBPC_04550,+
rne,NDLJOBPC_04552,+
group_1208,NDLJOBPC_04563,+
group_1209,NDLJOBPC_04575,-
group_121,NDLJOBPC_00688,+
group_1210,NDLJOBPC_04580,+
nat_2,NDLJOBPC_04582,+
tri1_2,NDLJOBPC_04597,+
pknD_11,NDLJOBPC_04612,-
group_1214,NDLJOBPC_04631,+
gvpA_1,NDLJOBPC_04634,+
group_1217,NDLJOBPC_04637,+
group_1218,NDLJOBPC_04640,+
group_1220,NDLJOBPC_04662,-
group_1221,NDLJOBPC_04664,+
dcuS_2,NDLJOBPC_04690,+
group_1223,NDLJOBPC_04693,-
fabF,NDLJOBPC_04721,-
group_1226,NDLJOBPC_04727,-
yfeW_3,NDLJOBPC_04728,-
group_1228,NDLJOBPC_04729,+
group_1229,NDLJOBPC_04732,-
group_123,NDLJOBPC_00772,-
group_1230,NDLJOBPC_04784,+
group_1231,NDLJOBPC_04788,-
group_1232,NDLJOBPC_04791,+
group_1233,NDLJOBPC_04796,-
group_1234,NDLJOBPC_04802,-
group_1235,NDLJOBPC_04803,-
group_1236,NDLJOBPC_04807,+
group_1238,NDLJOBPC_04816,+
yjhP_2,NDLJOBPC_04832,-
iolU,NDLJOBPC_04838,-
