Gene,albidoflavus_W68,Sign
group_1,PCKCKJGC_01919,-
trmB,PCKCKJGC_03192,-
group_1002,PCKCKJGC_03182,+
group_1003,PCKCKJGC_03179,+
group_1005,PCKCKJGC_03153,-
group_1006,PCKCKJGC_03148,+
group_1007,PCKCKJGC_03122,+
group_1008,PCKCKJGC_03120,+
group_1009,PCKCKJGC_03117,+
group_1010,PCKCKJGC_03112,-
group_1011,PCKCKJGC_03106,+
group_1012,PCKCKJGC_03105,-
group_1013,PCKCKJGC_03102,+
group_1014,PCKCKJGC_03093,+
group_1015,PCKCKJGC_03073,-
yidA_2,PCKCKJGC_03057,-
group_1017,PCKCKJGC_03048,-
phnO,PCKCKJGC_03035,-
group_1019,PCKCKJGC_03033,+
yyaP_1,PCKCKJGC_03031,-
group_1021,PCKCKJGC_03010,-
group_1022,PCKCKJGC_02991,-
scoF_2,PCKCKJGC_02982,-
glpG,PCKCKJGC_02977,-
group_1027,PCKCKJGC_02972,-
trmL,PCKCKJGC_02956,-
pknD_5,PCKCKJGC_02942,-
resA_1,PCKCKJGC_02928,-
group_1031,PCKCKJGC_02925,-
group_1032,PCKCKJGC_02924,+
group_1035,PCKCKJGC_02919,-
group_1037,PCKCKJGC_02911,+
group_1038,PCKCKJGC_02907,-
group_1039,PCKCKJGC_02883,-
group_1040,PCKCKJGC_02872,-
ytrA_3,PCKCKJGC_02858,+
group_1042,PCKCKJGC_02856,+
group_1043,PCKCKJGC_02845,-
group_1044,PCKCKJGC_02842,+
group_1045,PCKCKJGC_02838,+
group_1046,PCKCKJGC_02837,-
dapC,PCKCKJGC_02835,+
group_1048,PCKCKJGC_02823,+
group_1049,PCKCKJGC_02819,-
lnrK_2,PCKCKJGC_02817,-
group_1052,PCKCKJGC_02813,+
group_1053,PCKCKJGC_02811,+
group_1054,PCKCKJGC_02810,-
acr3,PCKCKJGC_02808,+
group_1056,PCKCKJGC_02807,+
cadI,PCKCKJGC_02806,-
group_1060,PCKCKJGC_02786,-
ant1,PCKCKJGC_02785,+
group_1062,PCKCKJGC_02781,-
group_1063,PCKCKJGC_02776,+
group_1064,PCKCKJGC_02755,+
