Gene,albidoflavus_UYFA156,Sign
group_1,OKGGMJON_01970,-
trmB,OKGGMJON_03280,-
group_1002,OKGGMJON_03270,+
group_1003,OKGGMJON_03267,+
group_1005,OKGGMJON_03238,-
group_1006,OKGGMJON_03233,+
group_1007,OKGGMJON_03225,+
group_1008,OKGGMJON_03223,+
group_1009,OKGGMJON_03220,+
group_1010,OKGGMJON_03214,-
group_1011,OKGGMJON_03208,+
group_1012,OKGGMJON_03207,-
group_1013,OKGGMJON_03204,+
group_1014,OKGGMJON_03195,+
group_1015,OKGGMJON_03174,-
yidA_2,OKGGMJON_03157,-
group_1017,OKGGMJON_03148,-
phnO,OKGGMJON_03135,-
group_1019,OKGGMJON_03133,+
yyaP_1,OKGGMJON_03131,-
group_1021,OKGGMJON_03110,-
group_1022,OKGGMJON_03090,-
scoF_2,OKGGMJON_03079,-
glpG,OKGGMJON_03074,-
group_1027,OKGGMJON_03069,-
trmL,OKGGMJON_03051,-
pknD_5,OKGGMJON_03037,-
resA_1,OKGGMJON_03025,-
group_1031,OKGGMJON_03022,-
group_1032,OKGGMJON_03021,+
group_1035,OKGGMJON_03018,-
group_1037,OKGGMJON_03010,+
group_1038,OKGGMJON_03005,-
group_1039,OKGGMJON_02980,-
group_1040,OKGGMJON_02970,-
ytrA_3,OKGGMJON_02956,+
group_1042,OKGGMJON_02954,+
group_1043,OKGGMJON_02944,-
group_1044,OKGGMJON_02941,+
group_1045,OKGGMJON_02937,+
group_1046,OKGGMJON_02936,-
dapC,OKGGMJON_02934,+
group_1048,OKGGMJON_02922,+
group_1049,OKGGMJON_02918,-
lnrK_2,OKGGMJON_02916,-
group_1052,OKGGMJON_02911,+
group_1053,OKGGMJON_02909,+
group_1054,OKGGMJON_02908,-
acr3,OKGGMJON_02907,+
group_1056,OKGGMJON_02906,+
cadI,OKGGMJON_02905,-
group_1060,OKGGMJON_02880,-
ant1,OKGGMJON_02879,+
group_1062,OKGGMJON_02875,-
group_1063,OKGGMJON_02870,+
group_1064,OKGGMJON_02849,+
group_1065,OKGGMJON_02840,+
group_1067,OKGGMJON_02834,-
group_1068,OKGGMJON_02832,+
group_1069,OKGGMJON_02830,-
psdht,OKGGMJON_02826,-
group_1072,OKGGMJON_02821,-
group_1073,OKGGMJON_02807,-
lacI,OKGGMJON_02792,+
group_1075,OKGGMJON_02774,-
group_1076,OKGGMJON_02761,-
group_1077,OKGGMJON_02760,-
group_1078,OKGGMJON_02743,-
group_1079,OKGGMJON_02742,+
group_1080,OKGGMJON_02740,-
group_1081,OKGGMJON_03511,-
group_1082,OKGGMJON_03528,-
group_1083,OKGGMJON_03530,-
folP1,OKGGMJON_03555,-
stp_3,OKGGMJON_03563,+
dap_3,OKGGMJON_03572,-
group_1087,OKGGMJON_03583,+
group_1088,OKGGMJON_03587,-
group_1089,OKGGMJON_03593,-
group_109,OKGGMJON_00208,+
group_1090,OKGGMJON_03599,+
group_1091,OKGGMJON_03600,+
argA,OKGGMJON_03601,+
group_1093,OKGGMJON_03603,-
group_1094,OKGGMJON_03605,-
group_1095,OKGGMJON_03627,-
group_1096,OKGGMJON_03630,-
group_1098,OKGGMJON_03631,+
rbbA,OKGGMJON_03632,+
ybjJ_3,OKGGMJON_03640,+
group_1101,OKGGMJON_03662,+
group_1102,OKGGMJON_03673,-
resA_2,OKGGMJON_03687,+
group_1104,OKGGMJON_03705,-
group_1105,OKGGMJON_03727,-
group_1106,OKGGMJON_03734,-
group_1112,OKGGMJON_03745,+
group_1115,OKGGMJON_03767,+
recQ,OKGGMJON_03773,+
cof,OKGGMJON_03777,+
hepT,OKGGMJON_03782,+
group_1120,OKGGMJON_03783,+
hxlR,OKGGMJON_03789,+
ndhJ,OKGGMJON_03797,+
htpX_2,OKGGMJON_03831,-
group_1125,OKGGMJON_03833,-
rspR_3,OKGGMJON_03845,-
nnr,OKGGMJON_03893,+
rimI,OKGGMJON_03912,+
pknD_9,OKGGMJON_03934,+
rppH_2,OKGGMJON_03944,-
group_1137,OKGGMJON_03965,-
group_1138,OKGGMJON_03977,-
group_1139,OKGGMJON_03982,+
group_1140,OKGGMJON_03989,-
group_1141,OKGGMJON_03992,-
group_1144,OKGGMJON_03998,+
group_1145,OKGGMJON_04003,+
group_1146,OKGGMJON_04020,-
gabR_2,OKGGMJON_04021,+
group_1148,OKGGMJON_04045,+
group_1150,OKGGMJON_04053,-
group_1151,OKGGMJON_04069,+
group_1152,OKGGMJON_04071,-
group_1153,OKGGMJON_04078,+
group_1154,OKGGMJON_04086,+
cdd,OKGGMJON_04091,+
group_1156,OKGGMJON_04093,+
group_1157,OKGGMJON_04111,-
group_1158,OKGGMJON_04112,-
group_1159,OKGGMJON_04113,+
pimB_1,OKGGMJON_00487,+
group_1160,OKGGMJON_04114,+
drrB_3,OKGGMJON_04152,+
group_1162,OKGGMJON_04157,-
group_1163,OKGGMJON_04161,+
group_1164,OKGGMJON_04164,+
group_1165,OKGGMJON_04165,-
group_1166,OKGGMJON_04193,+
group_1167,OKGGMJON_04204,-
ydhP_3,OKGGMJON_04206,+
group_1169,OKGGMJON_04208,-
group_1170,OKGGMJON_04209,+
group_1171,OKGGMJON_04210,-
group_1172,OKGGMJON_04223,-
group_1180,OKGGMJON_04273,+
group_1181,OKGGMJON_04276,-
mftR_2,OKGGMJON_04289,-
group_1188,OKGGMJON_04310,-
nagZ_3,OKGGMJON_04319,-
hcrA,OKGGMJON_00531,+
recD2_1,OKGGMJON_04321,+
group_1192,OKGGMJON_04332,+
group_1193,OKGGMJON_04347,-
group_1194,OKGGMJON_04348,+
group_1195,OKGGMJON_04363,-
group_1196,OKGGMJON_04366,+
group_1197,OKGGMJON_04368,-
group_1198,OKGGMJON_04373,-
group_1199,OKGGMJON_04375,-
pknG,OKGGMJON_04376,-
group_1201,OKGGMJON_04396,+
group_1202,OKGGMJON_04399,+
group_1203,OKGGMJON_04408,+
group_1204,OKGGMJON_04439,+
group_1206,OKGGMJON_04442,+
rne,OKGGMJON_04444,+
group_1208,OKGGMJON_04455,+
group_1209,OKGGMJON_04467,-
group_121,OKGGMJON_00597,+
group_1210,OKGGMJON_04472,+
nat_2,OKGGMJON_04476,+
tri1_2,OKGGMJON_04490,+
pknD_11,OKGGMJON_04506,-
group_1214,OKGGMJON_04524,+
gvpA_1,OKGGMJON_04527,+
group_1217,OKGGMJON_04530,+
group_1218,OKGGMJON_04533,+
group_1220,OKGGMJON_04544,-
group_1221,OKGGMJON_04546,+
dcuS_2,OKGGMJON_04581,+
group_1223,OKGGMJON_04586,-
fabF,OKGGMJON_04616,-
group_1226,OKGGMJON_04623,-
yfeW_3,OKGGMJON_04624,-
group_1228,OKGGMJON_04625,+
group_1229,OKGGMJON_04628,-
group_123,OKGGMJON_00677,-
group_1230,OKGGMJON_04656,+
group_1231,OKGGMJON_04660,-
group_1232,OKGGMJON_04663,+
group_1233,OKGGMJON_04669,-
group_1234,OKGGMJON_04675,-
group_1235,OKGGMJON_04676,-
group_1236,OKGGMJON_04681,+
group_1238,OKGGMJON_04685,+
yjhP_2,OKGGMJON_04699,-
iolU,OKGGMJON_04707,-
bcr,OKGGMJON_04708,+
group_1242,OKGGMJON_04732,-
group_1243,OKGGMJON_04738,+
group_1244,OKGGMJON_04742,-
glnE,OKGGMJON_04743,+
group_1248,OKGGMJON_04747,+
group_1249,OKGGMJON_04773,+
cobN,OKGGMJON_04778,-
cobL,OKGGMJON_04786,-
group_1253,OKGGMJON_04791,-
arpA,OKGGMJON_04795,+
group_1255,OKGGMJON_04799,+
ywnH,OKGGMJON_04805,-
group_1257,OKGGMJON_04812,-
group_1258,OKGGMJON_04835,-
csd_2,OKGGMJON_04850,+
group_1260,OKGGMJON_04855,-
group_1261,OKGGMJON_04869,+
group_1264,OKGGMJON_04903,-
group_1265,OKGGMJON_04927,+
