Gene,albidoflavus_J1074,Sign
group_1,CDKDDEHB_01824,-
trmB,CDKDDEHB_02815,+
group_1002,CDKDDEHB_02825,-
group_1003,CDKDDEHB_02828,-
group_1005,CDKDDEHB_02853,+
group_1006,CDKDDEHB_02858,-
group_1007,CDKDDEHB_02868,-
group_1008,CDKDDEHB_02871,-
group_1009,CDKDDEHB_02874,-
group_1010,CDKDDEHB_02879,+
group_1011,CDKDDEHB_02885,-
group_1012,CDKDDEHB_02886,+
group_1013,CDKDDEHB_02889,-
group_1014,CDKDDEHB_02898,-
group_1015,CDKDDEHB_02916,+
yidA_2,CDKDDEHB_02932,+
group_1017,CDKDDEHB_02941,+
phnO,CDKDDEHB_02954,+
group_1019,CDKDDEHB_02956,-
yyaP_1,CDKDDEHB_02958,+
group_1021,CDKDDEHB_02995,+
group_1022,CDKDDEHB_03015,+
scoF_2,CDKDDEHB_03026,+
glpG,CDKDDEHB_03031,+
group_1027,CDKDDEHB_03036,+
trmL,CDKDDEHB_03052,+
pknD_5,CDKDDEHB_03066,+
resA_1,CDKDDEHB_03079,+
group_1031,CDKDDEHB_03082,+
group_1032,CDKDDEHB_03083,-
group_1035,CDKDDEHB_03087,+
group_1037,CDKDDEHB_03095,-
group_1038,CDKDDEHB_03099,+
group_1039,CDKDDEHB_03127,+
group_1040,CDKDDEHB_03140,+
ytrA_3,CDKDDEHB_03164,-
group_1042,CDKDDEHB_03166,-
group_1043,CDKDDEHB_03176,+
group_1044,CDKDDEHB_03178,-
group_1045,CDKDDEHB_03182,-
group_1046,CDKDDEHB_03183,+
dapC,CDKDDEHB_03190,-
group_1048,CDKDDEHB_03200,-
group_1049,CDKDDEHB_03204,+
lnrK_2,CDKDDEHB_03206,+
group_1052,CDKDDEHB_03210,-
group_1053,CDKDDEHB_03212,-
group_1054,CDKDDEHB_03213,+
acr3,CDKDDEHB_03215,-
group_1056,CDKDDEHB_03216,-
cadI,CDKDDEHB_03217,+
group_1060,CDKDDEHB_03227,+
