Gene,albidoflavus_J1074_R2,Sign
group_1,MBMJMBDD_01826,-
trmB,MBMJMBDD_02862,+
group_1002,MBMJMBDD_02872,-
group_1003,MBMJMBDD_02875,-
group_1005,MBMJMBDD_02900,+
group_1006,MBMJMBDD_02905,-
group_1007,MBMJMBDD_02915,-
group_1008,MBMJMBDD_02918,-
group_1009,MBMJMBDD_02921,-
group_1010,MBMJMBDD_02926,+
group_1011,MBMJMBDD_02932,-
group_1012,MBMJMBDD_02933,+
group_1013,MBMJMBDD_02936,-
group_1014,MBMJMBDD_02945,-
group_1015,MBMJMBDD_02963,+
yidA_2,MBMJMBDD_02979,+
group_1017,MBMJMBDD_02988,+
phnO,MBMJMBDD_03001,+
group_1019,MBMJMBDD_03003,-
yyaP_1,MBMJMBDD_03005,+
group_1021,MBMJMBDD_03042,+
group_1022,MBMJMBDD_03062,+
scoF_2,MBMJMBDD_03073,+
glpG,MBMJMBDD_03078,+
group_1027,MBMJMBDD_03083,+
trmL,MBMJMBDD_03099,+
pknD_5,MBMJMBDD_03113,+
resA_1,MBMJMBDD_03126,+
group_1031,MBMJMBDD_03129,+
group_1032,MBMJMBDD_03130,-
group_1035,MBMJMBDD_03181,+
group_1037,MBMJMBDD_03189,-
group_1038,MBMJMBDD_03193,+
group_1039,MBMJMBDD_03222,+
group_1040,MBMJMBDD_03235,+
ytrA_3,MBMJMBDD_03259,-
group_1042,MBMJMBDD_03261,-
group_1043,MBMJMBDD_03271,+
group_1044,MBMJMBDD_03273,-
group_1045,MBMJMBDD_03277,-
group_1046,MBMJMBDD_03278,+
dapC,MBMJMBDD_03285,-
group_1048,MBMJMBDD_03295,-
group_1049,MBMJMBDD_03299,+
lnrK_2,MBMJMBDD_03301,+
group_1052,MBMJMBDD_03305,-
group_1053,MBMJMBDD_03307,-
group_1054,MBMJMBDD_03308,+
acr3,MBMJMBDD_03310,-
group_1056,MBMJMBDD_03311,-
cadI,MBMJMBDD_03312,+
group_1060,MBMJMBDD_03322,+
ant1,MBMJMBDD_03323,-
group_1062,MBMJMBDD_03327,+
group_1063,MBMJMBDD_03333,-
group_1064,MBMJMBDD_03358,-
group_1065,MBMJMBDD_03366,-
group_1067,MBMJMBDD_03369,+
group_1068,MBMJMBDD_03371,-
group_1069,MBMJMBDD_03373,+
psdht,MBMJMBDD_03378,+
group_1072,MBMJMBDD_03382,+
group_1073,MBMJMBDD_03397,+
lacI,MBMJMBDD_03411,-
group_1075,MBMJMBDD_03427,+
group_1076,MBMJMBDD_03440,+
group_1077,MBMJMBDD_03441,+
group_1078,MBMJMBDD_03458,+
group_1079,MBMJMBDD_03459,-
group_1080,MBMJMBDD_03461,+
group_1081,MBMJMBDD_03487,-
group_1082,MBMJMBDD_03507,-
group_1083,MBMJMBDD_03508,-
folP1,MBMJMBDD_03534,-
stp_3,MBMJMBDD_03543,+
dap_3,MBMJMBDD_03548,-
group_1087,MBMJMBDD_03559,+
group_1088,MBMJMBDD_03563,-
group_1089,MBMJMBDD_03569,-
group_109,MBMJMBDD_00024,+
group_1090,MBMJMBDD_03575,+
group_1091,MBMJMBDD_03576,+
argA,MBMJMBDD_03577,+
group_1093,MBMJMBDD_03579,-
group_1094,MBMJMBDD_03581,-
group_1095,MBMJMBDD_03602,-
group_1096,MBMJMBDD_03605,-
group_1098,MBMJMBDD_03606,+
rbbA,MBMJMBDD_03607,+
ybjJ_3,MBMJMBDD_03615,+
group_1101,MBMJMBDD_03634,+
group_1102,MBMJMBDD_03646,-
resA_2,MBMJMBDD_03655,+
group_1104,MBMJMBDD_03675,-
group_1105,MBMJMBDD_03696,-
group_1106,MBMJMBDD_03697,-
group_1112,MBMJMBDD_03712,+
group_1115,MBMJMBDD_03735,+
recQ,MBMJMBDD_03740,+
cof,MBMJMBDD_03744,+
hepT,MBMJMBDD_03750,+
group_1120,MBMJMBDD_03751,+
hxlR,MBMJMBDD_03767,+
ndhJ,MBMJMBDD_03775,+
htpX_2,MBMJMBDD_03810,-
group_1125,MBMJMBDD_03812,-
rspR_3,MBMJMBDD_03821,-
nnr,MBMJMBDD_03869,+
rimI,MBMJMBDD_03886,+
pknD_9,MBMJMBDD_03910,+
rppH_2,MBMJMBDD_03921,-
group_1137,MBMJMBDD_03940,-
group_1138,MBMJMBDD_03953,-
group_1139,MBMJMBDD_03958,+
group_1140,MBMJMBDD_03964,-
group_1141,MBMJMBDD_03967,-
group_1144,MBMJMBDD_03971,+
group_1145,MBMJMBDD_03976,+
group_1146,MBMJMBDD_03993,-
gabR_2,MBMJMBDD_03994,+
group_1148,MBMJMBDD_04019,+
group_1150,MBMJMBDD_04026,-
group_1151,MBMJMBDD_04042,+
group_1152,MBMJMBDD_04052,-
group_1153,MBMJMBDD_04059,+
group_1154,MBMJMBDD_04069,+
cdd,MBMJMBDD_04074,+
group_1156,MBMJMBDD_04076,+
group_1157,MBMJMBDD_04096,-
group_1158,MBMJMBDD_04097,-
group_1159,MBMJMBDD_04098,+
pimB_1,MBMJMBDD_00316,+
group_1160,MBMJMBDD_04100,+
drrB_3,MBMJMBDD_04140,+
group_1162,MBMJMBDD_04145,-
group_1163,MBMJMBDD_04149,+
