protein_info,length of protein_seq
akebiae_05331,50
akebiae_06019,57
akebiae_03766,61
akebiae_05761,61
akebiae_01141,64
akebiae_01093,66
akebiae_05103,66
akebiae_04751,67
akebiae_05751,67
akebiae_01922,72
akebiae_01582,73
akebiae_05337,75
akebiae_05992,76
akebiae_05757,77
akebiae_01545,79
akebiae_02863,79
akebiae_02268,82
akebiae_03586,83
akebiae_03882,84
akebiae_05412,85
akebiae_02681,88
akebiae_01956,93
akebiae_06007,93
akebiae_01373,101
akebiae_03789,102
akebiae_03892,105
akebiae_04954,109
akebiae_04063,110
akebiae_05895,110
akebiae_01292,119
akebiae_02804,120
akebiae_03575,120
akebiae_01095,122
akebiae_01544,123
akebiae_04923,123
akebiae_01147,124
akebiae_05377,124
akebiae_04031,125
akebiae_05064,126
akebiae_03174,127
akebiae_05734,132
akebiae_01965,133
akebiae_01266,137
akebiae_02623,137
akebiae_05416,137
akebiae_05731,140
akebiae_05735,140
akebiae_01293,143
akebiae_03726,145
akebiae_05118,145
akebiae_01458,147
akebiae_02293,147
akebiae_01109,149
akebiae_02806,151
akebiae_06024,154
akebiae_03031,155
akebiae_01927,159
akebiae_04035,160
akebiae_04828,162
akebiae_04579,163
akebiae_05063,163
akebiae_03250,164
akebiae_01802,165
akebiae_03178,165
akebiae_03267,165
akebiae_01208,166
akebiae_01866,166
akebiae_03249,166
akebiae_04116,166
akebiae_05154,166
akebiae_01516,168
akebiae_01337,169
akebiae_05366,171
akebiae_05823,171
akebiae_01270,172
akebiae_05314,174
akebiae_04101,177
akebiae_02789,178
akebiae_01515,179
akebiae_03984,180
akebiae_05372,180
akebiae_01123,183
akebiae_04621,183
akebiae_01267,186
akebiae_01904,188
akebiae_05324,191
akebiae_03059,194
akebiae_03049,195
akebiae_03256,197
akebiae_03257,198
akebiae_01589,199
akebiae_02957,200
akebiae_02214,202
akebiae_03635,203
akebiae_01144,206
akebiae_03768,206
akebiae_05124,206
akebiae_01982,209
akebiae_03537,209
akebiae_06166,209
akebiae_01854,211
akebiae_01999,213
akebiae_05338,213
akebiae_03494,215
akebiae_04442,216
akebiae_05781,218
akebiae_01527,222
akebiae_01378,223
akebiae_01297,224
akebiae_04509,224
akebiae_03261,225
akebiae_04053,226
akebiae_01913,229
akebiae_05109,230
akebiae_01535,231
akebiae_05107,231
akebiae_03670,232
akebiae_04830,233
akebiae_01520,234
akebiae_03811,235
akebiae_04619,235
akebiae_04060,237
akebiae_04811,238
akebiae_05746,238
akebiae_05321,240
akebiae_05221,241
akebiae_01937,243
akebiae_03660,243
akebiae_03746,244
akebiae_02168,245
akebiae_01865,246
akebiae_01347,248
akebiae_01419,249
akebiae_01566,251
akebiae_03184,251
akebiae_05170,252
akebiae_06165,252
akebiae_01383,254
akebiae_02621,255
akebiae_01473,256
akebiae_04951,258
akebiae_05947,258
akebiae_01684,259
akebiae_03742,259
akebiae_05061,259
akebiae_01514,260
akebiae_01694,260
akebiae_06243,262
akebiae_05312,263
akebiae_01923,264
akebiae_02944,264
akebiae_03805,264
akebiae_01384,265
akebiae_02069,266
akebiae_04629,266
akebiae_05379,266
akebiae_01990,269
akebiae_03983,269
akebiae_05415,272
akebiae_02252,273
akebiae_02673,274
akebiae_04138,274
akebiae_04521,274
akebiae_05117,274
akebiae_04655,275
akebiae_02233,278
akebiae_04102,280
akebiae_02172,281
akebiae_02075,285
akebiae_05309,286
akebiae_02045,287
akebiae_02065,288
akebiae_04016,292
akebiae_03949,295
akebiae_01936,296
akebiae_04015,300
akebiae_05111,300
akebiae_03346,302
akebiae_03584,302
akebiae_02266,304
akebiae_03950,306
akebiae_01377,307
akebiae_01683,307
akebiae_03116,307
akebiae_00986,308
akebiae_01925,309
akebiae_04499,309
akebiae_04003,311
akebiae_04656,311
akebiae_01555,312
akebiae_05697,312
akebiae_03757,313
akebiae_04622,313
akebiae_02622,314
akebiae_04328,315
akebiae_02950,316
akebiae_03179,319
akebiae_04513,320
akebiae_04062,323
akebiae_05413,323
akebiae_03255,324
akebiae_04504,325
akebiae_04597,326
akebiae_03985,329
akebiae_04917,329
akebiae_03769,332
akebiae_03181,333
akebiae_01794,335
akebiae_00985,338
akebiae_01367,340
akebiae_03743,340
akebiae_06014,340
akebiae_01462,341
akebiae_02267,343
akebiae_03260,343
akebiae_04050,343
akebiae_07630,344
akebiae_05113,345
akebiae_01905,346
akebiae_03610,348
akebiae_04839,350
akebiae_05220,350
akebiae_04703,353
akebiae_04023,359
akebiae_04054,360
akebiae_02994,361
akebiae_04809,362
akebiae_03881,364
akebiae_02661,369
akebiae_05830,370
akebiae_01987,371
akebiae_01691,372
akebiae_03558,372
akebiae_04438,372
akebiae_04049,373
akebiae_04625,374
akebiae_05325,374
akebiae_02703,376
akebiae_05320,377
akebiae_03658,378
akebiae_01594,379
akebiae_04033,381
akebiae_02951,386
akebiae_05696,388
akebiae_01921,391
akebiae_01975,394
akebiae_04022,398
akebiae_04945,398
akebiae_01530,402
akebiae_04959,402
akebiae_01985,403
akebiae_02265,406
akebiae_04026,406
akebiae_05712,407
akebiae_02956,408
akebiae_04840,408
akebiae_06158,408
akebiae_02223,421
akebiae_01581,422
akebiae_02269,423
akebiae_04055,428
akebiae_04147,432
akebiae_04781,432
akebiae_05322,433
akebiae_01283,435
akebiae_02801,438
akebiae_06015,439
akebiae_01418,441
akebiae_05222,441
akebiae_03048,442
akebiae_03791,443
akebiae_05841,444
akebiae_03194,447
akebiae_04043,447
akebiae_03080,448
akebiae_03581,448
akebiae_00556,451
akebiae_05183,451
akebiae_01906,452
akebiae_05360,452
akebiae_03115,454
akebiae_05822,454
akebiae_01590,456
akebiae_01970,460
akebiae_02763,461
akebiae_01997,462
akebiae_04515,467
akebiae_04626,469
akebiae_05367,471
akebiae_03180,473
akebiae_03114,474
akebiae_03809,474
akebiae_03793,477
akebiae_05112,478
akebiae_04002,479
akebiae_00989,480
akebiae_04922,488
akebiae_04618,493
akebiae_03989,494
akebiae_01587,508
akebiae_01385,512
akebiae_01996,515
akebiae_03792,519
akebiae_03343,521
akebiae_04993,525
akebiae_05106,529
akebiae_05127,532
akebiae_01386,538
akebiae_02948,538
akebiae_03592,549
akebiae_04128,551
akebiae_01110,556
akebiae_04113,568
akebiae_05062,584
akebiae_05122,590
akebiae_01946,598
akebiae_01494,608
akebiae_04148,608
akebiae_01931,625
akebiae_02558,645
akebiae_01924,651
akebiae_04516,652
akebiae_01588,678
akebiae_03595,692
akebiae_01690,695
akebiae_06157,709
akebiae_05984,726
akebiae_01801,759
akebiae_04338,765
akebiae_05334,784
akebiae_07184,800
akebiae_00523,812
akebiae_04529,824
akebiae_03762,828
akebiae_00702,837
akebiae_03953,843
akebiae_02767,866
akebiae_03589,894
akebiae_05921,914
akebiae_02241,915
akebiae_02800,924
akebiae_05349,934
akebiae_01887,1047
akebiae_05736,1285
akebiae_03875,1327
